Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Latitude,Longitude,Upper_dam_altitude__m_,Minimum_head__m_,Reservoir_level_variation__m_,Dam_height__m_,Dam_length__km_,Tunnel_length__km_,Land_requirement__km2_,River_Strahler__1_12_,River_discharge__m3_s_,River_seasonality,Annual_variability,Pump_flow__m3_s_,Dam_cost__USD_,Tunnel_cost__USD_,Escavation_cost__USD_,Turbine_cost__USD_,Miscellaneous_cost__USD_,Eletrotecnical_cost__USD_,Land_cost__USD_,Water_storage_cost__USD_m3_,Water_storage__km3_,Energy_storage_cost_without_cascade__USD_MWh_,Energy_storage_without_cascade__TWh_,Energy_storage_with_cascade__TWh_,Installed_capacity_costs__USD_GW_,Installed_capacity__GW_
"2.350136026",Latitude: 32.1375<br>Longitude: 98.55833333<br>Upper dam altitude (m): 3874<br>Minimum head (m): 748<br>Reservoir level variation (m): 50<br>Dam height (m): 50<br>Dam length (km): 0.761<br>Tunnel length (km): 18<br>Land requirement (km2): 76.973<br>River Strahler (1-12): 8<br>River discharge (m3/s): 951.226<br>River seasonality: 1.266<br>Annual variability: 0.44<br>Pump flow (m3/s): 151.421<br>Dam cost (USD): 0.086<br>Tunnel cost (USD): 0.339<br>Escavation cost (USD): 0.055<br>Turbine cost (USD): 0.08<br>Miscellaneous cost (USD): 0.008<br>Eletrotecnical cost (USD): 0.168<br>Land cost (USD): 0.348<br>Water storage cost (USD/m3): 0.018<br>Water storage (km3): 3.458<br>Energy storage cost without cascade (USD/MWh): 9.417<br>Energy storage without cascade (TWh): 6.557<br>Energy storage with cascade (TWh): 26.272<br>Installed capacity costs (USD/GW): 0.648<br>Installed capacity (GW): 1,,,,,-1,0,-1,,,"32.1375","98.55833333","3874.0","748.0","50.0","50.0","0.7606552943","18.0","76.97261805","8.0","951.2257677","1.265994011","0.4396025769","151.4212703","0.08586596734","0.3385556469","0.0545351754","0.0795978514","0.00795978514","0.1678008759","0.3481650111","0.01785251103","3.458495715","9.416961611","6.556555653","26.2720252","0.6484493347","1.0"
"2.363341975","Latitude: 29.175<br>Longitude: 100.8208333<br>Upper dam altitude (m): 3295<br>Minimum head (m): 893<br>Reservoir level variation (m): 250<br>Dam height (m): 250<br>Dam length (km): 1.206<br>Tunnel length (km): 24<br>Land requirement (km2): 73.315<br>River Strahler (1-12): 8<br>River discharge (m3/s): 1,992.632<br>River seasonality: 0.743<br>Annual variability: 0.251<br>Pump flow (m3/s): 126.834<br>Dam cost (USD): 1.004<br>Tunnel cost (USD): 0.446<br>Escavation cost (USD): 0.053<br>Turbine cost (USD): 0.08<br>Miscellaneous cost (USD): 0.008<br>Eletrotecnical cost (USD): 0.168<br>Land cost (USD): 0.332<br>Water storage cost (USD/m3): 0.017<br>Water storage (km3): 8.299<br>Energy storage cost without cascade (USD/MWh): 6.953<br>Energy storage without cascade (TWh): 20.721<br>Energy storage with cascade (TWh): 60.961<br>Installed capacity costs (USD/GW): 0.754<br>Installed capacity (GW): 1",,,,,-1,0,-1,,,"29.175","100.8208333","3295.0","893.0","250.0","250.0","1.205982775","24.0","73.31484031","8.0","1992.631894","0.7426283176","0.2511101426","126.8343899","1.004028903","0.4456555849","0.05298713458","0.0795978514","0.00795978514","0.1678008759","0.3316200337","0.0173593081","8.299425531","6.953054239","20.72071925","60.96125164","0.754001232","1.0"
"2.364953672",Latitude: 31.5375<br>Longitude: 97.325<br>Upper dam altitude (m): 3794<br>Minimum head (m): 422<br>Reservoir level variation (m): 100<br>Dam height (m): 100<br>Dam length (km): 0.38<br>Tunnel length (km): 12<br>Land requirement (km2): 69.767<br>River Strahler (1-12): 8<br>River discharge (m3/s): 951.226<br>River seasonality: 1.087<br>Annual variability: 0.473<br>Pump flow (m3/s): 268.396<br>Dam cost (USD): 0.141<br>Tunnel cost (USD): 0.469<br>Escavation cost (USD): 0.06<br>Turbine cost (USD): 0.08<br>Miscellaneous cost (USD): 0.007<br>Eletrotecnical cost (USD): 0.168<br>Land cost (USD): 0.316<br>Water storage cost (USD/m3): 0.016<br>Water storage (km3): 5.316<br>Energy storage cost without cascade (USD/MWh): 13.771<br>Energy storage without cascade (TWh): 6.154<br>Energy storage with cascade (TWh): 35.832<br>Installed capacity costs (USD/GW): 0.784<br>Installed capacity (GW): 1,,,,,-1,0,-1,,,"31.5375","97.325","3794.0","422.0","100.0","100.0","0.3803276472","12.0","69.76741864","8.0","951.2257677","1.087389306","0.4729889087","268.3959957","0.1412742922","0.4690418148","0.05992810856","0.0795978514","0.00726140528","0.1678008759","0.3155742224","0.01594085434","5.316031269","13.77084464","6.153731477","35.83244828","0.783630056","1.0"
"2.447356024",Latitude: 33.38333333<br>Longitude: 77.9375<br>Upper dam altitude (m): 4600<br>Minimum head (m): 555<br>Reservoir level variation (m): 50<br>Dam height (m): 50<br>Dam length (km): 0.924<br>Tunnel length (km): 21<br>Land requirement (km2): 153.418<br>River Strahler (1-12): 7<br>River discharge (m3/s): 886.071<br>River seasonality: 0.906<br>Annual variability: 0.366<br>Pump flow (m3/s): 204.078<br>Dam cost (USD): 0.069<br>Tunnel cost (USD): 0.377<br>Escavation cost (USD): 0.057<br>Turbine cost (USD): 0.08<br>Miscellaneous cost (USD): 0.008<br>Eletrotecnical cost (USD): 0.168<br>Land cost (USD): 0.694<br>Water storage cost (USD/m3): 0.02<br>Water storage (km3): 6.909<br>Energy storage cost without cascade (USD/MWh): 14.093<br>Energy storage without cascade (TWh): 9.828<br>Energy storage with cascade (TWh): 56.596<br>Installed capacity costs (USD/GW): 0.69<br>Installed capacity (GW): 1,,,,,-1,0,-1,,,"33.38333333","77.9375","4600.0","555.0","50.0","50.0","0.9241325063","21.0","153.4180264","7.0","886.0712662","0.9064900103","0.3662074725","204.077676","0.06892998097","0.3774684799","0.05726985233","0.0795978514","0.00795978514","0.1678008759","0.6939453304","0.02004714977","6.909259021","14.09339504","9.828075494","56.59615888","0.6900968446","1.0"
"2.460357008",Latitude: 33.38333333<br>Longitude: 77.93333333<br>Upper dam altitude (m): 4599<br>Minimum head (m): 548<br>Reservoir level variation (m): 50<br>Dam height (m): 50<br>Dam length (km): 0.924<br>Tunnel length (km): 21<br>Land requirement (km2): 153.242<br>River Strahler (1-12): 7<br>River discharge (m3/s): 886.071<br>River seasonality: 0.906<br>Annual variability: 0.366<br>Pump flow (m3/s): 206.685<br>Dam cost (USD): 0.074<br>Tunnel cost (USD): 0.377<br>Escavation cost (USD): 0.057<br>Turbine cost (USD): 0.08<br>Miscellaneous cost (USD): 0.008<br>Eletrotecnical cost (USD): 0.168<br>Land cost (USD): 0.693<br>Water storage cost (USD/m3): 0.02<br>Water storage (km3): 6.889<br>Energy storage cost without cascade (USD/MWh): 14.309<br>Energy storage without cascade (TWh): 9.681<br>Energy storage with cascade (TWh): 56.302<br>Installed capacity costs (USD/GW): 0.69<br>Installed capacity (GW): 1,,,,,-1,0,-1,,,"33.38333333","77.93333333","4599.0","548.0","50.0","50.0","0.9241325063","21.0","153.2422898","7.0","886.0712662","0.9064900103","0.3662074725","206.6845077","0.07438565827","0.3770825667","0.05738981954","0.0795978514","0.00795978514","0.1678008759","0.6931504331","0.02010778678","6.889049315","14.308715","9.681060444","56.30220912","0.6898308987","1.0"
"2.460439484","Latitude: 28.775<br>Longitude: 99.41666667<br>Upper dam altitude (m): 3161<br>Minimum head (m): 768<br>Reservoir level variation (m): 250<br>Dam height (m): 250<br>Dam length (km): 1.608<br>Tunnel length (km): 27<br>Land requirement (km2): 67.561<br>River Strahler (1-12): 8<br>River discharge (m3/s): 1,448.561<br>River seasonality: 1.052<br>Annual variability: 0.247<br>Pump flow (m3/s): 147.478<br>Dam cost (USD): 1.053<br>Tunnel cost (USD): 0.488<br>Escavation cost (USD): 0.054<br>Turbine cost (USD): 0.08<br>Miscellaneous cost (USD): 0.008<br>Eletrotecnical cost (USD): 0.168<br>Land cost (USD): 0.306<br>Water storage cost (USD/m3): 0.017<br>Water storage (km3): 9.245<br>Energy storage cost without cascade (USD/MWh): 7.686<br>Energy storage without cascade (TWh): 20.247<br>Energy storage with cascade (TWh): 63.248<br>Installed capacity costs (USD/GW): 0.798<br>Installed capacity (GW): 1",,,,,-1,0,-1,,,"28.775","99.41666667","3161.0","768.0","250.0","250.0","1.607977034","27.0","67.5610174","8.0","1448.561258","1.052003709","0.2470013784","147.4780081","1.053215405","0.4883172889","0.05430114533","0.0795978514","0.00795978514","0.1678008759","0.3055941577","0.01683308197","9.244722953","7.686049255","20.24670596","63.24771661","0.7979769467","1.0"
"2.475566847",Latitude: 32.13333333<br>Longitude: 98.56666667<br>Upper dam altitude (m): 3856<br>Minimum head (m): 622<br>Reservoir level variation (m): 50<br>Dam height (m): 50<br>Dam length (km): 0.924<br>Tunnel length (km): 18<br>Land requirement (km2): 70.646<br>River Strahler (1-12): 8<br>River discharge (m3/s): 951.226<br>River seasonality: 1.266<br>Annual variability: 0.44<br>Pump flow (m3/s): 182.095<br>Dam cost (USD): 0.08<br>Tunnel cost (USD): 0.332<br>Escavation cost (USD): 0.056<br>Turbine cost (USD): 0.08<br>Miscellaneous cost (USD): 0.008<br>Eletrotecnical cost (USD): 0.168<br>Land cost (USD): 0.32<br>Water storage cost (USD/m3): 0.018<br>Water storage (km3): 3.174<br>Energy storage cost without cascade (USD/MWh): 11.328<br>Energy storage without cascade (TWh): 5.036<br>Energy storage with cascade (TWh): 23.045<br>Installed capacity costs (USD/GW): 0.643<br>Installed capacity (GW): 1,,,,,-1,0,-1,,,"32.13333333","98.56666667","3856.0","622.0","50.0","50.0","0.9241325063","18.0","70.6461015","8.0","951.2257677","1.265994011","0.4396025769","182.0950325","0.08008782341","0.3316092094","0.05620617325","0.0795978514","0.00795978514","0.1678008759","0.3195487088","0.01797477277","3.17380247","11.32791841","5.036086611","23.0445719","0.6431738951","1.0"
"2.489267211",Latitude: 33.42083333<br>Longitude: 77.8625<br>Upper dam altitude (m): 4614<br>Minimum head (m): 745<br>Reservoir level variation (m): 50<br>Dam height (m): 50<br>Dam length (km): 1.848<br>Tunnel length (km): 27<br>Land requirement (km2): 177.318<br>River Strahler (1-12): 7<br>River discharge (m3/s): 886.071<br>River seasonality: 1.016<br>Annual variability: 0.33<br>Pump flow (m3/s): 152.031<br>Dam cost (USD): 0.122<br>Tunnel cost (USD): 0.487<br>Escavation cost (USD): 0.055<br>Turbine cost (USD): 0.08<br>Miscellaneous cost (USD): 0.008<br>Eletrotecnical cost (USD): 0.168<br>Land cost (USD): 0.802<br>Water storage cost (USD/m3): 0.022<br>Water storage (km3): 7.768<br>Energy storage cost without cascade (USD/MWh): 11.439<br>Energy storage without cascade (TWh): 14.67<br>Energy storage with cascade (TWh): 67.412<br>Installed capacity costs (USD/GW): 0.797<br>Installed capacity (GW): 1,,,,,-1,0,-1,,,"33.42083333","77.8625","4614.0","745.0","50.0","50.0","1.848265013","27.0","177.3182","7.0","886.0712662","1.015678012","0.3300064087","152.0310204","0.1220845147","0.4870492884","0.05457092718","0.0795978514","0.00795978514","0.1678008759","0.8020513613","0.02160167665","7.768259379","11.43899104","14.66977522","67.41238004","0.7969787281","1.0"
"2.512309189","Latitude: 28.20416667<br>Longitude: 99.66666667<br>Upper dam altitude (m): 2777<br>Minimum head (m): 729<br>Reservoir level variation (m): 150<br>Dam height (m): 150<br>Dam length (km): 0.804<br>Tunnel length (km): 27<br>Land requirement (km2): 42.875<br>River Strahler (1-12): 8<br>River discharge (m3/s): 1,448.561<br>River seasonality: 0.922<br>Annual variability: 0.225<br>Pump flow (m3/s): 155.368<br>Dam cost (USD): 0.295<br>Tunnel cost (USD): 0.486<br>Escavation cost (USD): 0.055<br>Turbine cost (USD): 0.08<br>Miscellaneous cost (USD): 0.008<br>Eletrotecnical cost (USD): 0.168<br>Land cost (USD): 0.194<br>Water storage cost (USD/m3): 0.015<br>Water storage (km3): 4.87<br>Energy storage cost without cascade (USD/MWh): 7.719<br>Energy storage without cascade (TWh): 9.603<br>Energy storage with cascade (TWh): 29.504<br>Installed capacity costs (USD/GW): 0.796<br>Installed capacity (GW): 1",,,,,-1,0,-1,,,"28.20416667","99.66666667","2777.0","729.0","150.0","150.0","0.8039885169","27.0","42.87526104","8.0","1448.561258","0.9218372093","0.2253787476","155.3677781","0.2947694293","0.4861672011","0.05476456625","0.0795978514","0.00795978514","0.1678008759","0.1939347539","0.01521998485","4.870147076","7.718788754","9.603004706","29.504157","0.7962902799","1.0"
"2.517220734","Latitude: -14.075<br>Longitude: -74.31666667<br>Upper dam altitude (m): 3913<br>Minimum head (m): 489<br>Reservoir level variation (m): 100<br>Dam height (m): 100<br>Dam length (km): 0.914<br>Tunnel length (km): 12<br>Land requirement (km2): 127.186<br>River Strahler (1-12): 7<br>River discharge (m3/s): 1,526.078<br>River seasonality: 0.71<br>Annual variability: 0.74<br>Pump flow (m3/s): 231.622<br>Dam cost (USD): 0.179<br>Tunnel cost (USD): 0.483<br>Escavation cost (USD): 0.058<br>Turbine cost (USD): 0.08<br>Miscellaneous cost (USD): 0.006<br>Eletrotecnical cost (USD): 0.168<br>Land cost (USD): 0.575<br>Water storage cost (USD/m3): 0.018<br>Water storage (km3): 5.774<br>Energy storage cost without cascade (USD/MWh): 13.482<br>Energy storage without cascade (TWh): 7.633<br>Energy storage with cascade (TWh): 40.88<br>Installed capacity costs (USD/GW): 0.795<br>Installed capacity (GW): 1",,,,,-1,0,-1,,,"-14.075","-74.31666667","3913.0","489.0","100.0","100.0","0.9136526187","12.0","127.185543","7.0","1526.077525","0.7099303439","0.7395266535","231.6219023","0.1785916148","0.4829153477","0.058480216","0.0795978514","0.005787372903","0.1678008759","0.5752897213","0.01782161318","5.774097308","13.48184196","7.632764796","40.87989873","0.794581664","1.0"
